,date,price
0,2022-04-21,106.17
1,2022-04-20,105.56
2,2022-04-19,108.69
3,2022-04-18,108.11
4,2022-04-14,105.88
5,2022-04-13,102.44
6,2022-04-12,98.14
7,2022-04-11,97.64
8,2022-04-08,98.14
9,2022-04-07,97.41
10,2022-04-06,103.79
11,2022-04-05,105.34
12,2022-04-04,101.84
13,2022-04-01,101.61
0,2022-03-31,107.71
1,2022-03-30,108.38
2,2022-03-29,108.58
3,2022-03-28,110.67
4,2022-03-25,111.93
5,2022-03-24,115.6
6,2022-03-23,111.8
7,2022-03-22,111.19
8,2022-03-21,109.81
9,2022-03-18,106.62
10,2022-03-17,100.86
11,2022-03-16,102.52
12,2022-03-15,99.78
13,2022-03-14,109.88
14,2022-03-11,110.49
15,2022-03-10,115.33
16,2022-03-09,127.86
17,2022-03-08,122.99
18,2022-03-07,125.19
19,2022-03-04,108.84
20,2022-03-03,116.65
21,2022-03-02,110.05
22,2022-03-01,98.71
0,2022-02-28,96.86
1,2022-02-25,95.84
2,2022-02-24,98.64
3,2022-02-23,93.65
4,2022-02-22,96.01
5,2022-02-21,91.73
6,2022-02-18,90.3
7,2022-02-17,91.9
8,2022-02-16,92.6
9,2022-02-15,93.05
10,2022-02-14,92.72
11,2022-02-11,90.25
12,2022-02-10,90.6
13,2022-02-09,89.39
14,2022-02-08,90.42
15,2022-02-07,90.91
16,2022-02-04,90.22
17,2022-02-03,87.46
18,2022-02-02,0.0
19,2022-02-01,0.0
0,2022-01-31,88.39
1,2022-01-28,87.58
2,2022-01-27,87.8
3,2022-01-26,86.77
4,2022-01-25,84.86
5,2022-01-24,86.71
6,2022-01-21,85.14
7,2022-01-20,86.35
8,2022-01-19,86.37
9,2022-01-18,86.58
10,2022-01-17,84.92
11,2022-01-14,83.75
12,2022-01-13,82.96
13,2022-01-12,82.19
14,2022-01-11,79.97
15,2022-01-10,80.36
16,2022-01-07,80.55
17,2022-01-06,78.83
18,2022-01-05,78.4
19,2022-01-04,77.51
20,2022-01-03,76.88
0,2021-12-31,77.12
1,2021-12-30,77.24
2,2021-12-29,76.91
3,2021-12-28,76.47
4,2021-12-27,0.0
5,2021-12-24,74.37
6,2021-12-23,73.54
7,2021-12-22,72.56
8,2021-12-21,70.56
9,2021-12-20,70.11
10,2021-12-17,73.36
11,2021-12-16,73.37
12,2021-12-15,72.01
13,2021-12-14,73.39
14,2021-12-13,74.11
15,2021-12-10,72.72
16,2021-12-09,74.48
17,2021-12-08,73.83
18,2021-12-07,73.22
19,2021-12-06,70.12
20,2021-12-03,70.79
21,2021-12-02,69.13
22,2021-12-01,71.13
0,2021-11-30,71.88
1,2021-11-29,75.17
2,2021-11-26,77.38
3,2021-11-25,81.44
4,2021-11-24,81.86
5,2021-11-23,78.47
6,2021-11-22,78.42
7,2021-11-19,80.89
8,2021-11-18,78.66
9,2021-11-17,81.01
10,2021-11-16,81.96
11,2021-11-15,80.89
12,2021-11-12,81.57
13,2021-11-11,81.83
14,2021-11-10,83.97
15,2021-11-09,82.24
16,2021-11-08,81.99
17,2021-11-05,79.48
18,2021-11-04,0.0
19,2021-11-03,81.89
20,2021-11-02,83.31
21,2021-11-01,81.99
0,2021-10-29,82.57
1,2021-10-28,81.91
2,2021-10-27,83.46
3,2021-10-26,83.94
4,2021-10-25,84.37
5,2021-10-22,82.57
6,2021-10-21,83.12
7,2021-10-20,82.56
8,2021-10-19,83.03
9,2021-10-18,83.89
10,2021-10-15,82.99
11,2021-10-14,82.28
12,2021-10-13,81.43
13,2021-10-12,82.07
14,2021-10-11,82.03
15,2021-10-08,81.23
16,2021-10-07,77.41
17,2021-10-06,80.55
18,2021-10-05,79.57
19,2021-10-04,77.17
20,2021-10-01,75.68
0,2021-09-30,75.92
1,2021-09-29,75.7
2,2021-09-28,77.34
3,2021-09-27,76.17
4,2021-09-24,74.77
5,2021-09-23,74.11
6,2021-09-22,73.3
7,2021-09-21,72.9
8,2021-09-20,72.13
9,2021-09-17,73.06
10,2021-09-16,73.09
11,2021-09-15,72.26
12,2021-09-14,72.29
13,2021-09-13,71.73
14,2021-09-10,70.85
15,2021-09-09,70.65
16,2021-09-08,69.78
17,2021-09-07,70.35
18,2021-09-06,69.99
19,2021-09-03,71.26
20,2021-09-02,69.74
21,2021-09-01,70.43
0,2021-08-31,71.19
1,2021-08-30,71.13
2,2021-08-27,70.76
3,2021-08-26,70.11
4,2021-08-25,69.69
5,2021-08-24,68.7
6,2021-08-23,66.09
7,2021-08-20,65.37
8,2021-08-19,65.35
9,2021-08-18,68.58
10,2021-08-17,68.45
11,2021-08-16,68.9
12,2021-08-13,70.03
13,2021-08-12,70.52
14,2021-08-11,69.77
15,2021-08-10,68.91
16,2021-08-07,0.0
17,2021-08-06,70.72
18,2021-08-05,68.8
19,2021-08-04,71.37
20,2021-08-03,71.88
21,2021-08-02,73.28
0,2021-07-30,73.9
1,2021-07-29,73.68
2,2021-07-28,72.82
3,2021-07-27,73.02
4,2021-07-26,71.59
5,2021-07-23,72.25
6,2021-07-22,71.43
7,2021-07-21,68.67
8,2021-07-20,0.0
9,2021-07-19,71.68
10,2021-07-16,72.18
11,2021-07-15,72.23
12,2021-07-14,74.72
13,2021-07-13,74.36
14,2021-07-12,73.54
