date,price
2022년 04월 22일,1242.6
2022년 04월 21일,1239.4
2022년 04월 20일,1236.705
2022년 04월 19일,1237.92
2022년 04월 18일,1232.345
2022년 04월 15일,1229.56
2022년 04월 14일,1227.09
2022년 04월 13일,1226.7
2022년 04월 12일,1231.575
2022년 04월 11일,1232.875
2022년 04월 08일,1226.075
2022년 04월 07일,1220.16
2022년 04월 06일,1218.9
2022년 04월 05일,1215.31
2022년 04월 04일,1216.9
2022년 04월 01일,1217.33
2022년 03월 31일,1211.815
2022년 03월 30일,1210.14
2022년 03월 29일,1216.195
2022년 03월 28일,1225.065
2022년 03월 25일,1221.33
2022년 03월 24일,1221.075
2022년 03월 23일,1215.355
2022년 03월 22일,1219.215
2022년 03월 21일,1214.81
2022년 03월 18일,1212.14
2022년 03월 17일,1217.765
2022년 03월 16일,1234.69
2022년 03월 15일,1243.325
2022년 03월 14일,1238.75
2022년 03월 11일,1233.07
2022년 03월 10일,1227.435
2022년 03월 09일,1229.345
2022년 03월 08일,1233.4
2022년 03월 07일,1226.76
2022년 03월 04일,1213.065
2022년 03월 03일,1205.735
2022년 03월 02일,1205.485
2022년 03월 01일,1202.025
2022년 02월 28일,1204.865
2022년 02월 25일,1202.315
2022년 02월 24일,1201.7
2022년 02월 23일,1191.99
2022년 02월 22일,1193.67
2022년 02월 21일,1194.725
2022년 02월 18일,1196.25
2022년 02월 17일,1197.25
2022년 02월 16일,1197.395
2022년 02월 15일,1197.94
2022년 02월 14일,1197.05
2022년 02월 11일,1197.55
2022년 02월 10일,1197.035
2022년 02월 09일,1195.245
2022년 02월 08일,1198.295
2022년 02월 07일,1198.905
2022년 02월 04일,1199.43
2022년 02월 03일,1202.935
2022년 02월 02일,1201.615
2022년 02월 01일,1204.81
2022년 01월 31일,1208.56
2022년 01월 28일,1208.755
2022년 01월 27일,1202.97
2022년 01월 26일,1196.4
2022년 01월 25일,1197.55
2022년 01월 24일,1195.195
2022년 01월 21일,1192.595
2022년 01월 20일,1190.535
2022년 01월 19일,1190.3
2022년 01월 18일,1190.13
2022년 01월 17일,1191.81
2022년 01월 14일,1189.045
2022년 01월 13일,1186.99
2022년 01월 12일,1189.155
2022년 01월 11일,1195.45
2022년 01월 10일,1198.88
2022년 01월 07일,1201.55
2022년 01월 06일,1202.155
2022년 01월 05일,1198.045
2022년 01월 04일,1196.12
2022년 01월 03일,1190.705
2021년 12월 31일,1188.99
2021년 12월 30일,1186.735
2021년 12월 29일,1186.325
2021년 12월 28일,1187.35
2021년 12월 27일,1186.825
2021년 12월 24일,1186.545
2021년 12월 23일,1187.825
2021년 12월 22일,1191.24
2021년 12월 21일,1191.405
2021년 12월 20일,1189.73
2021년 12월 17일,1184.33
2021년 12월 16일,1185.245
2021년 12월 15일,1187.075
2021년 12월 14일,1183.675
2021년 12월 13일,1181.595
2021년 12월 10일,1179.61
2021년 12월 09일,1175.995
2021년 12월 08일,1177.215
2021년 12월 07일,1180.295
2021년 12월 06일,1183.095
2021년 12월 03일,1179.73
2021년 12월 02일,1176.335
2021년 12월 01일,1179.41
2021년 11월 30일,1186.995
2021년 11월 29일,1192.95
2021년 11월 26일,1193
2021년 11월 25일,1190.05
2021년 11월 24일,1187.905
2021년 11월 23일,1189.765
2021년 11월 22일,1188.085
2021년 11월 19일,1184.415
2021년 11월 18일,1182.84
2021년 11월 17일,1183.27
2021년 11월 16일,1180.55
2021년 11월 15일,1180.975
2021년 11월 12일,1180.205
2021년 11월 11일,1182.735
2021년 11월 10일,1181.485
2021년 11월 09일,1177.73
2021년 11월 08일,1182.835
2021년 11월 05일,1184.82
2021년 11월 04일,1182.875
2021년 11월 03일,1181.965
2021년 11월 02일,1176.97
2021년 11월 01일,1176.585
2021년 10월 29일,1172.44
2021년 10월 28일,1170.38
2021년 10월 27일,1169.77
2021년 10월 26일,1167.11
2021년 10월 25일,1172.96
2021년 10월 22일,1177.67
2021년 10월 21일,1176.505
2021년 10월 20일,1175.635
2021년 10월 19일,1179.885
2021년 10월 18일,1185.62
2021년 10월 15일,1183.09
2021년 10월 14일,1186.35
2021년 10월 13일,1192.895
2021년 10월 12일,1198.14
2021년 10월 11일,1194.44
2021년 10월 08일,1193.98
2021년 10월 07일,1190.115
2021년 10월 06일,1191.92
2021년 10월 05일,1186.475
2021년 10월 04일,1182.19
2021년 10월 01일,1184.125
2021년 09월 30일,1184.8
2021년 09월 29일,1185.23
2021년 09월 28일,1182.52
2021년 09월 27일,1178.22
2021년 09월 24일,1176.93
2021년 09월 23일,1178.49
2021년 09월 22일,1181.89
2021년 09월 21일,1185.635
2021년 09월 20일,1186.94
2021년 09월 17일,1178.52
2021년 09월 16일,1171.07
2021년 09월 15일,1169.735
2021년 09월 14일,1170.79
2021년 09월 13일,1173.775
2021년 09월 10일,1169.48
2021년 09월 09일,1169.13
2021년 09월 08일,1164.99
2021년 09월 07일,1160.51
2021년 09월 06일,1157.25
2021년 09월 03일,1156.125
2021년 09월 02일,1158.745
2021년 09월 01일,1157.59
2021년 08월 31일,1161.305
2021년 08월 30일,1164.795
2021년 08월 27일,1167.83
2021년 08월 26일,1167.49
2021년 08월 25일,1166.145
2021년 08월 24일,1167.335
2021년 08월 23일,1172.495
2021년 08월 20일,1178.03
2021년 08월 19일,1174.03
2021년 08월 18일,1173.415
2021년 08월 17일,1172.2
2021년 08월 16일,1165.135
2021년 08월 13일,1165.765
2021년 08월 12일,1159.555
2021년 08월 11일,1155.79
2021년 08월 10일,1150.035
2021년 08월 09일,1145.605
2021년 08월 06일,1144.22
2021년 08월 05일,1143.73
2021년 08월 04일,1144.87
2021년 08월 03일,1150.25
2021년 08월 02일,1151.56
2021년 07월 30일,1148.41
2021년 07월 29일,1146.3
2021년 07월 28일,1154.6
2021년 07월 27일,1153.755
2021년 07월 26일,1154.25
2021년 07월 23일,1151.28
2021년 07월 22일,1149.985
2021년 07월 21일,1151.755
2021년 07월 20일,1149.81
2021년 07월 19일,1148.72
2021년 07월 16일,1141.135
