date,exchange
2003-06-01,1293
2003-07-01,1179.7
2003-08-01,1178.2
2003-09-01,1150.1
2003-10-01,1183.1
2003-11-01,1202.1
2003-12-01,1192.6
2004-01-01,1173.7
2004-02-01,1176.2
2004-03-01,1146.6
2004-04-01,1173.3
2004-05-01,1160.1
2004-06-01,1155.5
2004-07-01,1170
2004-08-01,1153
2004-09-01,1151.8
2004-10-01,1119.6
2004-11-01,1048.2
2004-12-01,1035.1
2005-01-01,1025.6
2005-02-01,1006
2005-03-01,1015.5
2005-04-01,1002.8
2005-05-01,1007.7
2005-06-01,1025.4
2005-07-01,1026.8
2005-08-01,1038.5
2005-09-01,1041.1
2005-10-01,1040.2
2005-11-01,1033.5
2005-12-01,1011.6
2006-01-01,964.6
2006-02-01,970.9
2006-03-01,971.6
2006-04-01,943.4
2006-05-01,945.6
2006-06-01,948.9
2006-07-01,955.2
2006-08-01,961.4
2006-09-01,946.2
2006-10-01,942.3
2006-11-01,929.5
2006-12-01,929.8
2007-01-01,941
2007-02-01,941.8
2007-03-01,940.9
2007-04-01,930.8
2007-05-01,927.7
2007-06-01,923.8
2007-07-01,919.3
2007-08-01,938.3
2007-09-01,915.1
2007-10-01,900.7
2007-11-01,921.1
2007-12-01,936.1
2008-01-01,943.9
2008-02-01,939
2008-03-01,990.4
2008-04-01,1002.6
2008-05-01,1030.1
2008-06-01,1046
2008-07-01,1012.2
2008-08-01,1089
2008-09-01,1207
2008-10-01,1291
2008-11-01,1469
2008-12-01,1259.5
2009-01-01,1379.5
2009-02-01,1534
2009-03-01,1383.5
2009-04-01,1282
2009-05-01,1255
2009-06-01,1273.9
2009-07-01,1228.5
2009-08-01,1248.9
2009-09-01,1178.1
2009-10-01,1182.5
2009-11-01,1162.8
2009-12-01,1164.5
2010-01-01,1161.8
2010-02-01,1160
2010-03-01,1131.3
2010-04-01,1108.4
2010-05-01,1202.5
2010-06-01,1222.2
2010-07-01,1182.7
2010-08-01,1198.1
2010-09-01,1140.2
2010-10-01,1125.3
2010-11-01,1159.7
2010-12-01,1134.8
2011-01-01,1121.5
2011-02-01,1128.7
2011-03-01,1096.7
2011-04-01,1071.5
2011-05-01,1079.2
2011-06-01,1067.7
2011-07-01,1054.5
2011-08-01,1066.8
2011-09-01,1178.1
2011-10-01,1110
2011-11-01,1143
2011-12-01,1151
2012-01-01,1123
2012-02-01,1118
2012-03-01,1133
2012-04-01,1130
2012-05-01,1180
2012-06-01,1145
2012-07-01,1130
2012-08-01,1134
2012-09-01,1111.4
2012-10-01,1090.7
2012-11-01,1082.9
2012-12-01,1070.6
2013-01-01,1089
2013-02-01,1083
2013-03-01,1111
2013-04-01,1101
2013-05-01,1129.7
2013-06-01,1142
2013-07-01,1123.5
2013-08-01,1110
2013-09-01,1074.7
2013-10-01,1060.7
2013-11-01,1058.2
2013-12-01,1055.4
2014-01-01,1070.4
2014-02-01,1067.5
2014-03-01,1064.7
2014-04-01,1033.2
2014-05-01,1020.1
2014-06-01,1011.8
2014-07-01,1027.9
2014-08-01,1014
2014-09-01,1055.2
2014-10-01,1068.5
2014-11-01,1107.9
2014-12-01,1099.3
2015-01-01,1093.5
2015-02-01,1098.4
2015-03-01,1109.5
2015-04-01,1072.4
2015-05-01,1108.2
2015-06-01,1115.5
2015-07-01,1170
2015-08-01,1182.5
2015-09-01,1185.3
2015-10-01,1140.1
2015-11-01,1158.1
2015-12-01,1172.5
2016-01-01,1199.1
2016-02-01,1236.7
2016-03-01,1143.5
2016-04-01,1139.3
2016-05-01,1191.7
2016-06-01,1151.8
2016-07-01,1120.2
2016-08-01,1114.8
2016-09-01,1101.3
2016-10-01,1144.5
2016-11-01,1169.1
2016-12-01,1207.7
2017-01-01,1162.1
2017-02-01,1130.7
2017-03-01,1118.4
2017-04-01,1137.9
2017-05-01,1119.5
2017-06-01,1144.1
2017-07-01,1119
2017-08-01,1127.8
2017-09-01,1145.4
2017-11-01,1088.2
2017-12-01,1070.5
2018-01-01,1067.9
2018-02-01,1082.8
2018-03-01,1063.5
2018-04-01,1068
2018-05-01,1077.7
2018-06-01,1114.5
2018-07-01,1118.7
2018-08-01,1112.9
2018-09-01,1109.3
2018-10-01,1139.6
2018-11-01,1121.2
2018-12-01,1115.7
2019-01-01,1112.7
2019-02-01,1124.7
2019-03-01,1135.1
2019-04-01,1168.2
2019-05-01,1190.9
2019-06-01,1154.7
2019-07-01,1183.1
2019-08-01,1211.2
2019-09-01,1196.2
2019-10-01,1163.4
2019-11-01,1181.2
2019-12-01,1156.4
2020-01-01,1191.8
2020-02-01,1213.7
2020-03-01,1217.4
2020-04-01,1218.2
2020-05-01,1238.5
2020-06-01,1203
2020-07-01,1191.3
2020-08-01,1187.8
2020-09-01,1169.5
2020-10-01,1135.1
2020-11-01,1106.5
2020-12-01,1086.3
2021-01-01,1118.8
2021-02-01,1123.5
2021-03-01,1131.8
2021-04-01,1112.3
2021-05-01,1110.9
2021-06-01,1126.1
2021-07-01,1150.3
2021-08-01,1159.5
2021-09-01,1184
2021-10-01,1168.6
2021-11-01,1187.9
