date,price
2003-06-01,100
2003-07-01,99.7
2003-08-01,99.5
2003-09-01,99.5
2003-10-01,99.6
2003-11-01,99.6
2003-12-01,99.8
2004-01-01,100.4
2004-02-01,100.9
2004-03-01,101.4
2004-04-01,101.3
2004-05-01,102.8
2004-06-01,103.5
2004-07-01,104.4
2004-08-01,105.9
2004-09-01,107.6
2004-10-01,108.4
2004-11-01,110.2
2004-12-01,112.1
2005-01-01,115.1
2005-02-01,116.1
2005-03-01,117.5
2005-04-01,118.5
2005-05-01,118.3
2005-06-01,119.2
2005-07-01,119.6
2005-08-01,119.6
2005-09-01,121.2
2005-10-01,123.1
2005-11-01,125.2
2005-12-01,125
2006-01-01,126.9
2006-02-01,128.2
2006-03-01,127.8
2006-04-01,126.6
2006-05-01,126.4
2006-06-01,126.3
2006-07-01,127.4
2006-08-01,127.8
2006-09-01,128.8
2006-10-01,129.8
2006-11-01,131.9
2006-12-01,131.7
2007-01-01,132.5
2007-02-01,132.6
2007-03-01,132.7
2007-04-01,133.1
2007-05-01,133.2
2007-06-01,134.5
2007-07-01,134.8
2007-08-01,135.3
2007-09-01,135.2
2007-10-01,134.9
2007-11-01,135.4
2007-12-01,135.7
2008-01-01,139.5
2008-02-01,140.7
2008-03-01,142
2008-04-01,146.2
2008-05-01,149.6
2008-06-01,153.4
2008-07-01,168.2
2008-08-01,179.1
2008-09-01,185
2008-10-01,188.1
2008-11-01,191.1
2008-12-01,181.3
2009-01-01,162.6
2009-02-01,144.6
2009-03-01,143.1
2009-04-01,140.2
2009-05-01,134.7
2009-06-01,136.3
2009-07-01,138
2009-08-01,146.1
2009-09-01,153.5
2009-10-01,155.8
2009-11-01,156.7
2009-12-01,156.2
2010-01-01,159.5
2010-02-01,160.8
2010-03-01,162.5
2010-04-01,166.2
2010-05-01,170.4
2010-06-01,174.9
2010-07-01,176.3
2010-08-01,175.8
2010-09-01,175.8
2010-10-01,175.4
2010-11-01,174.9
2010-12-01,175.8
2011-01-01,179
2011-02-01,186.1
2011-03-01,192.7
2011-04-01,198.9
2011-05-01,211.4
2011-06-01,224.8
2011-07-01,235.8
2011-08-01,241.2
2011-09-01,238.9
2011-10-01,234.6
2011-11-01,215.7
2011-12-01,206.5
2012-01-01,206.9
2012-02-01,213.6
2012-03-01,225.9
2012-04-01,233.4
2012-05-01,230.2
2012-06-01,213
2012-07-01,201.6
2012-08-01,198.1
2012-09-01,194.1
2012-10-01,193.1
2012-11-01,192.8
2012-12-01,190.1
2013-01-01,189.9
2013-02-01,190.2
2013-03-01,193.4
2013-04-01,193.1
2013-05-01,192.6
2013-06-01,188.2
2013-07-01,184.5
2013-08-01,172.8
2013-09-01,171.7
2013-10-01,172.6
2013-11-01,176
2013-12-01,176.3
2014-01-01,178.3
2014-02-01,180.7
2014-03-01,183.3
2014-04-01,183.6
2014-05-01,182.1
2014-06-01,180.4
2014-07-01,178
2014-08-01,177.7
2014-09-01,176.5
2014-10-01,175.9
2014-11-01,171.7
2014-12-01,168.6
2015-01-01,164.8
2015-02-01,156.4
2015-03-01,154.5
2015-04-01,153.7
2015-05-01,153.2
2015-06-01,156.3
2015-07-01,158.9
2015-08-01,157.7
2015-09-01,158.4
2015-10-01,157.2
2015-11-01,154.5
2015-12-01,152.7
2016-01-01,150.7
2016-02-01,148.5
2016-03-01,148
2016-04-01,150.1
2016-05-01,151.4
2016-06-01,153.4
2016-07-01,153.3
2016-08-01,152.7
2016-09-01,155
2016-10-01,156.7
2016-11-01,159.8
2016-12-01,160.1
2017-01-01,164.4
2017-02-01,179.4
2017-03-01,189.8
2017-04-01,186.4
2017-05-01,170.7
2017-06-01,168.5
2017-07-01,158.7
2017-08-01,155.1
2017-09-01,155.4
2017-11-01,157.3
2017-12-01,155
2018-01-01,157.4
2018-02-01,158.5
2018-03-01,165.8
2018-04-01,169.6
2018-05-01,173.2
2018-06-01,176.4
2018-07-01,174.7
2018-08-01,177.5
2018-09-01,178.2
2018-10-01,179.2
2018-11-01,173.9
2018-12-01,167.9
2019-01-01,166.4
2019-02-01,166.3
2019-03-01,166.2
2019-04-01,167.7
2019-05-01,167.6
2019-06-01,165.8
2019-07-01,164.3
2019-08-01,162.3
2019-09-01,162
2019-10-01,161.5
2019-11-01,160.2
2019-12-01,157.3
2020-01-01,159.9
2020-02-01,161.5
2020-03-01,159.2
2020-04-01,151.4
2020-05-01,147.8
2020-06-01,146.2
2020-07-01,145.6
2020-08-01,146.3
2020-09-01,148.1
2020-10-01,150.8
2020-11-01,153.2
2020-12-01,157.6
2021-01-01,159.4
2021-02-01,157.4
2021-03-01,159.3
2021-04-01,165.1
2021-05-01,170.2
2021-06-01,175.3
2021-07-01,181.469
2021-08-01,192.435
2021-09-01,197.271
2021-10-01,197.952
2021-11-01,194.954
2021-12-01,188.706
2022-01-01,189.745
2022-02-01,189.448
